Y	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48
-2,9	949,97	1,57	154,25	325,27	41,41	4,58	17072,81	225,17	82,11	276,23	0,00	1,43	0,25	2,88	1,10	0,91	0,93	0,96	1116,66	0,99	0,06	12,69	34,92	1,09	1,05	1,15	8098,06	3,45	14,65	168,34	23270,93	3394,72	8827,33	4,02	7,13	2,53	22,24	7,40	333,27	3,94	22,14	7,52	-0,01	-0,08	-0,04	15,61	1,52	4,00
-2,8	945,11	1,54	154,15	312,78	41,70	4,59	16913,54	221,52	81,95	273,31	0,00	1,44	0,25	2,89	1,10	0,90	0,93	0,97	1104,46	0,99	0,07	12,55	34,90	1,09	1,05	1,14	8022,03	3,45	14,65	168,53	23060,76	3372,73	8736,93	3,95	6,90	2,45	21,94	7,32	329,58	3,88	21,82	7,41	-0,01	-0,08	-0,04	15,27	1,46	3,91
-2,6	945,11	1,53	153,76	325,21	41,41	4,58	16946,59	221,11	80,55	275,28	0,00	1,44	0,24	2,88	1,11	0,89	0,93	0,96	1103,62	0,99	0,06	12,41	34,69	1,09	1,08	1,15	8001,50	3,46	14,53	168,16	23064,50	3400,59	8690,96	4,06	7,19	2,54	22,10	7,27	322,22	3,98	22,04	7,39	-0,01	-0,07	-0,04	15,35	1,48	3,92
-2,6	945,72	1,49	153,42	325,21	41,41	4,61	16922,41	219,32	80,11	271,90	0,00	1,44	0,24	2,88	1,10	0,89	0,94	0,97	1098,77	1,00	0,06	12,30	34,69	1,08	1,06	1,14	7980,80	3,45	14,50	167,86	22979,05	3399,69	8641,76	4,06	7,18	2,54	22,04	7,22	318,68	3,98	21,92	7,31	-0,01	-0,08	-0,04	15,30	1,49	3,92
-2,5	948,72	1,56	153,85	337,09	41,16	4,58	17025,23	222,93	81,25	275,99	-0,01	1,43	0,24	2,88	1,11	0,90	0,93	0,96	1109,86	0,99	0,06	12,55	34,79	1,09	1,08	1,14	8056,30	3,46	14,53	167,95	23182,45	3400,53	8766,16	4,02	7,11	2,54	22,09	7,32	328,70	3,95	22,18	7,52	-0,01	-0,08	-0,04	15,51	1,51	3,97
-2,4	943,91	1,52	153,82	325,14	41,46	4,60	16889,13	221,51	80,63	272,93	0,00	1,44	0,24	2,88	1,11	0,89	0,93	0,96	1099,02	1,00	0,06	12,39	34,75	1,10	1,07	1,15	7988,44	3,46	14,54	168,20	23024,39	3399,05	8678,26	4,02	7,12	2,53	22,00	7,27	323,47	3,89	21,54	7,24	0,00	-0,07	-0,04	15,21	1,48	3,92
-2,4	945,31	1,57	154,12	324,77	41,44	4,59	16969,16	222,31	81,64	277,12	0,00	1,44	0,24	2,88	1,12	0,90	0,92	0,96	1107,07	0,99	0,07	12,58	34,82	1,10	1,07	1,16	8041,43	3,47	14,56	168,42	23131,48	3382,53	8763,12	4,00	7,07	2,50	22,04	7,32	328,56	3,93	21,99	7,45	-0,01	-0,07	-0,04	15,40	1,49	3,94
-2,2	945,11	1,54	154,15	307,59	41,71	4,59	16913,49	221,54	81,88	273,39	0,00	1,44	0,25	2,89	1,10	0,90	0,93	0,97	1104,35	0,99	0,07	12,55	34,89	1,09	1,04	1,14	8022,43	3,45	14,65	168,52	23058,40	3368,14	8739,44	3,95	6,91	2,44	21,95	7,32	329,49	3,88	21,86	7,42	-0,01	-0,07	-0,04	15,27	1,46	3,90
-2	949,64	1,54	153,72	325,61	41,38	4,58	17053,12	222,78	81,22	274,42	0,00	1,43	0,24	2,88	1,10	0,90	0,94	0,97	1110,83	0,99	0,06	12,46	34,75	1,08	1,06	1,14	8061,98	3,45	14,56	168,13	23204,20	3410,95	8761,18	4,15	7,51	2,60	22,46	7,37	327,01	4,06	22,33	7,47	-0,01	-0,07	-0,04	15,57	1,51	4,00
-1,8	945,12	1,53	153,76	325,21	41,41	4,58	16944,89	220,99	80,47	275,28	0,00	1,44	0,24	2,88	1,11	0,90	0,93	0,96	1103,78	0,99	0,06	12,42	34,69	1,09	1,08	1,15	8000,41	3,46	14,54	168,16	23064,00	3400,66	8692,50	4,06	7,18	2,54	22,10	7,26	322,12	3,98	22,04	7,39	-0,01	-0,07	-0,04	15,34	1,47	3,92
-1,6	943,10	1,56	154,24	307,59	41,48	4,59	16914,74	222,75	82,30	275,62	0,00	1,44	0,25	2,89	1,10	0,91	0,93	0,96	1104,33	0,99	0,07	12,54	34,87	1,09	1,06	1,14	8029,09	3,46	14,63	168,65	23059,58	3355,06	8759,69	3,94	7,48	2,44	21,96	7,34	331,60	3,87	21,92	7,47	-0,01	-0,08	-0,04	15,28	1,45	3,87
-1,5	948,42	1,54	153,81	325,24	41,41	4,58	16998,61	221,58	81,10	273,17	0,00	1,43	0,25	2,88	1,09	0,90	0,94	0,97	1107,69	0,99	0,06	12,50	34,81	1,08	1,05	1,13	8041,19	3,45	14,59	168,12	23125,09	3395,63	8739,02	4,04	7,15	2,54	22,13	7,32	326,87	3,96	22,00	7,40	-0,01	-0,08	-0,04	15,46	1,51	3,97
-1,5	949,45	1,57	153,81	325,28	41,37	4,57	17108,53	222,81	82,23	279,68	0,00	1,43	0,24	2,88	1,11	0,90	0,93	0,96	1116,75	0,99	0,06	12,50	34,71	1,09	1,07	1,14	8099,88	3,47	14,52	168,10	23268,41	3402,69	8816,47	4,06	7,20	2,54	22,29	7,38	330,88	4,03	22,62	7,68	-0,01	-0,05	-0,02	15,71	1,52	4,00
-1,4	947,20	1,55	153,88	325,24	41,41	4,59	16997,02	221,70	81,18	275,17	0,00	1,44	0,24	2,88	1,11	0,90	0,93	0,97	1106,90	0,99	0,06	12,51	34,77	1,09	1,06	1,15	8039,90	3,46	14,55	168,34	23146,00	3396,51	8749,67	4,07	7,22	2,55	22,28	7,34	325,71	3,99	22,19	7,45	-0,01	-0,08	-0,04	15,45	1,49	3,97
-1,2	949,03	1,55	153,87	325,83	41,38	4,58	17079,77	224,41	81,74	277,87	0,00	1,43	0,24	2,88	1,11	0,90	0,93	0,96	1114,32	0,99	0,06	12,49	34,75	1,09	1,07	1,15	8084,33	3,46	14,54	168,22	23272,24	3416,36	8796,85	4,14	7,40	2,60	22,50	7,40	329,33	4,05	22,41	7,53	-0,01	-0,08	-0,04	15,63	1,51	4,01
-1,2	948,93	1,56	153,91	325,29	41,36	4,57	17084,28	222,89	81,74	278,71	0,00	1,43	0,25	2,88	1,11	0,90	0,93	0,96	1115,88	0,99	0,06	12,56	34,73	1,08	1,07	1,15	8078,49	3,46	14,57	168,17	23230,71	3400,46	8796,39	4,08	7,25	2,54	22,29	7,36	329,22	4,08	22,70	7,65	0,00	-0,07	-0,04	15,67	1,51	3,97
-1,1	949,72	1,54	153,90	325,12	41,39	4,58	16985,74	222,56	81,41	274,21	0,00	1,43	0,24	2,88	1,10	0,90	0,93	0,97	1104,92	0,99	0,06	12,39	34,78	1,08	1,05	1,15	8040,04	3,45	14,58	167,94	23165,15	3407,69	8748,74	4,09	7,29	2,58	22,28	7,34	327,95	3,99	22,15	7,47	0,00	-0,07	-0,04	15,42	1,51	3,97
-1	945,89	1,57	153,97	325,86	41,45	4,60	17094,79	223,54	81,42	279,25	0,00	1,43	0,25	2,88	1,11	0,90	0,93	0,96	1117,88	0,99	0,06	12,51	34,83	1,09	1,07	1,14	8089,34	3,46	14,59	168,48	23245,47	3404,72	8795,99	4,13	7,27	2,55	22,44	7,39	328,76	4,03	22,19	7,44	-0,01	-0,06	-0,03	15,68	1,51	3,97
-0,6	949,53	1,54	153,95	324,80	41,38	4,57	16959,58	222,86	81,76	273,80	0,00	1,44	0,24	2,88	1,11	0,90	0,92	0,96	1104,92	0,99	0,06	12,54	34,77	1,09	1,06	1,16	8037,78	3,46	14,56	167,95	23138,16	3393,83	8751,42	3,95	7,01	2,52	21,95	7,31	329,24	3,89	22,02	7,49	-0,01	-0,09	-0,05	15,38	1,51	3,97
